倉庫毎の実在庫,商品ID,商品名,在庫しきい値,カテゴリー名,販売可能数,引当済 (全倉庫),安全在庫数,未引当,安全在庫設定値,実在庫数,倉庫ID,倉庫,実在庫 (倉庫毎),引当済 (倉庫毎),SKUコード,セット区分,セット構成品商品ID,セット構成品名,構成品数
0,71032-00000134,bdr-3002-2-10,1,老眼鏡,15,0,0,0,0,15,999,RFC倉庫,0,0,bdr-3002-2-10,0,,,
15,71032-00000134,bdr-3002-2-10,1,老眼鏡,15,0,0,0,0,15,61144,自社倉庫,15,0,bdr-3002-2-10,0,,,
0,71032-00000135,bdr-3002-1-125,1,老眼鏡,0,0,0,0,0,0,999,RFC倉庫,0,0,bdr-3002-1-125,0,,,
0,71032-00000135,bdr-3002-1-125,1,老眼鏡,0,0,0,0,0,0,61144,自社倉庫,0,0,bdr-3002-1-125,0,,,
0,71032-00000136,bdr-3002-2-125,1,老眼鏡,0,0,0,0,0,0,999,RFC倉庫,0,0,bdr-3002-2-125,0,,,
0,71032-00000136,bdr-3002-2-125,1,老眼鏡,0,0,0,0,0,0,61144,自社倉庫,0,0,bdr-3002-2-125,0,,,
0,71032-00000137,bdr-3002-1-15,1,老眼鏡,14,0,0,0,0,14,999,RFC倉庫,0,0,bdr-3002-1-15,0,,,
14,71032-00000137,bdr-3002-1-15,1,老眼鏡,14,0,0,0,0,14,61144,自社倉庫,14,0,bdr-3002-1-15,0,,,
0,71032-00000138,bdr-3002-2-15,1,老眼鏡,14,0,0,0,0,14,999,RFC倉庫,0,0,bdr-3002-2-15,0,,,
14,71032-00000138,bdr-3002-2-15,1,老眼鏡,14,0,0,0,0,14,61144,自社倉庫,14,0,bdr-3002-2-15,0,,,
